f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label,source_image
0.0,0.0,0.0,0.6191972494125366,-0.35423019528388977,-0.1498110443353653,0.9639286994934082,-0.981060266494751,-0.20798063278198242,1.0749759674072266,-1.551010012626648,-0.2871611416339874,0.9825613498687744,-1.9879125356674194,-0.3360244929790497,0.6355443596839905,-1.4742240905761719,-0.004093639552593231,0.723366379737854,-1.8224071264266968,-0.3632424771785736,0.7141212224960327,-1.3256677389144897,-0.5861008167266846,0.6888541579246521,-0.9283388257026672,-0.6698046922683716,0.2334032654762268,-1.4465770721435547,-0.049484219402074814,0.3918807804584503,-1.7091374397277832,-0.4739334285259247,0.4183144271373749,-1.1040256023406982,-0.6247207522392273,0.39512699842453003,-0.6708400249481201,-0.6275733113288879,-0.15548337996006012,-1.3658431768417358,-0.14365530014038086,0.03373149782419205,-1.4571526050567627,-0.5714296698570251,0.07981841266155243,-0.8831581473350525,-0.5474883317947388,0.0610513761639595,-0.5239889621734619,-0.40720319747924805,-0.553103506565094,-1.2776256799697876,-0.24870337545871735,-0.29960474371910095,-1.3115789890289307,-0.5254164338111877,-0.24548622965812683,-0.8959155678749084,-0.47835102677345276,-0.23696239292621613,-0.6328244805335999,-0.362865149974823,A,A/A1.jpg
0.0,0.0,0.0,0.5866087079048157,-0.33576926589012146,-0.1720137745141983,0.9896984100341797,-0.9961482882499695,-0.25137490034103394,1.1109821796417236,-1.592464566230774,-0.33281660079956055,1.0228394269943237,-2.052255868911743,-0.37708166241645813,0.6492020487785339,-1.5328011512756348,-0.1678875982761383,0.7751103639602661,-1.8813751935958862,-0.49154195189476013,0.7193663716316223,-1.3708819150924683,-0.6439918279647827,0.679080605506897,-0.9963254332542419,-0.6855475902557373,0.21550817787647247,-1.535847783088684,-0.19538459181785583,0.41979312896728516,-1.6948148012161255,-0.5518637895584106,0.4406650960445404,-1.0854389667510986,-0.6192319393157959,0.42263269424438477,-0.6875655651092529,-0.5904534459114075,-0.18981266021728516,-1.472819209098816,-0.26362547278404236,0.05494443327188492,-1.4434257745742798,-0.6248182058334351,0.10128840804100037,-0.8669483661651611,-0.562853217124939,0.08820554614067078,-0.518060564994812,-0.4270578622817993,-0.5821795463562012,-1.3832721710205078,-0.3461427688598633,-0.27962687611579895,-1.3007344007492065,-0.5792540311813354,-0.23731720447540283,-0.8767620325088501,-0.5313335061073303,-0.24777883291244507,-0.6282659769058228,-0.4332749843597412,A,A/A10.jpg
0.0,0.0,0.0,0.5487970113754272,-0.34113144874572754,-0.17771245539188385,0.8622785210609436,-1.021873116493225,-0.22661170363426208,0.9211311936378479,-1.606372594833374,-0.2745394706726074,0.9179400205612183,-2.0543251037597656,-0.30579674243927,0.5510324239730835,-1.4059500694274902,-0.11512228101491928,0.49033239483833313,-1.8289364576339722,-0.4106462597846985,0.4195251762866974,-1.4982507228851318,-0.5632436871528625,0.41867172718048096,-1.1163626909255981,-0.5999692678451538,0.1265740990638733,-1.362557291984558,-0.12005046010017395,0.08449254184961319,-1.735499382019043,-0.4716565012931824,0.08183100074529648,-1.2600226402282715,-0.5777880549430847,0.12289553135633469,-0.8217002749443054,-0.5565117001533508,-0.22943934798240662,-1.2616958618164062,-0.16399453580379486,-0.27174612879753113,-1.4842092990875244,-0.5307313203811646,-0.22220546007156372,-0.9662216305732727,-0.5198331475257874,-0.1569080501794815,-0.5601980686187744,-0.39936205744743347,-0.5419486165046692,-1.1062250137329102,-0.21639537811279297,-0.5508303642272949,-1.3434714078903198,-0.4713115692138672,-0.503787636756897,-0.9896944761276245,-0.4468688368797302,-0.4457581043243408,-0.6957656145095825,-0.3505135476589203,A,A/A1000.jpg
0.0,0.0,0.0,0.6077792048454285,-0.3535403609275818,-0.15248778462409973,0.9148179292678833,-0.9674526453018188,-0.218816876411438,0.8967525362968445,-1.5092952251434326,-0.3022654950618744,0.8193725347518921,-1.899158239364624,-0.352599561214447,0.5973013639450073,-1.3885085582733154,-0.020669644698500633,0.6220884919166565,-1.7185637950897217,-0.3138984441757202,0.6169831156730652,-1.3511353731155396,-0.49135491251945496,0.6176835894584656,-1.0392941236495972,-0.5675500631332397,0.23471465706825256,-1.3460789918899536,-0.06443379819393158,0.34179258346557617,-1.5763760805130005,-0.3997291326522827,0.41602998971939087,-1.080414891242981,-0.5178096890449524,0.42532870173454285,-0.7300310730934143,-0.5349300503730774,-0.09677698463201523,-1.257165551185608,-0.15465106070041656,0.07711317390203476,-1.4232144355773926,-0.4956273138523102,0.16370034217834473,-0.9166696071624756,-0.4767391085624695,0.16419143974781036,-0.5836066603660583,-0.3787616193294525,-0.4200153946876526,-1.1269965171813965,-0.260503888130188,-0.20475153625011444,-1.1709951162338257,-0.49154749512672424,-0.11154566705226898,-0.8291069269180298,-0.47752833366394043,-0.08869027346372604,-0.6068947315216064,-0.41098538041114807,A,A/A1001.jpg
0.0,0.0,0.0,0.5961442589759827,-0.33446550369262695,-0.16145186126232147,0.9087108969688416,-0.9440506100654602,-0.22802887856960297,0.9191868305206299,-1.493091344833374,-0.3109980821609497,0.8463121056556702,-1.9020967483520508,-0.3654535114765167,0.6414443254470825,-1.3319956064224243,-0.0024466917384415865,0.6338998079299927,-1.691412091255188,-0.3031483590602875,0.6263913512229919,-1.3466284275054932,-0.49404817819595337,0.6245662569999695,-1.0281282663345337,-0.5768277049064636,0.2962762415409088,-1.2958241701126099,-0.04289426654577255,0.3633517622947693,-1.5955690145492554,-0.3888614773750305,0.4214795231819153,-1.0965498685836792,-0.5277141332626343,0.4186037480831146,-0.7204623818397522,-0.552905797958374,-0.025511110201478004,-1.210200548171997,-0.13060735166072845,0.1003071516752243,-1.4384111166000366,-0.4881879985332489,0.1752767264842987,-0.9302059412002563,-0.4889054000377655,0.16744354367256165,-0.5859941840171814,-0.39596831798553467,-0.3512411415576935,-1.0895828008651733,-0.23248834908008575,-0.18638882040977478,-1.1861240863800049,-0.4817192256450653,-0.09968876093626022,-0.8387370705604553,-0.47902870178222656,-0.07490526884794235,-0.5995392203330994,-0.41547417640686035,A,A/A1002.jpg
0.0,0.0,0.0,0.5950783491134644,-0.34567803144454956,-0.15451538562774658,0.8941295742988586,-0.9568727612495422,-0.21802644431591034,0.8975901007652283,-1.4955391883850098,-0.29825595021247864,0.8246249556541443,-1.888026237487793,-0.3484826982021332,0.596935510635376,-1.3535231351852417,-0.013822656124830246,0.6195599436759949,-1.6704332828521729,-0.3158256709575653,0.6152263879776001,-1.3127609491348267,-0.5066776275634766,0.6180384755134583,-0.9911584854125977,-0.5893996953964233,0.24907277524471283,-1.3161287307739258,-0.05549485236406326,0.34767696261405945,-1.5679047107696533,-0.397757351398468,0.4145037531852722,-1.0862160921096802,-0.524660050868988,0.4248039126396179,-0.7231581211090088,-0.5445951819419861,-0.07210253924131393,-1.231445550918579,-0.14439165592193604,0.08451323211193085,-1.4127291440963745,-0.4915410578250885,0.15950290858745575,-0.9142932891845703,-0.48023688793182373,0.15500196814537048,-0.573947012424469,-0.38357168436050415,-0.3882729411125183,-1.1101338863372803,-0.24902057647705078,-0.19548681378364563,-1.1694227457046509,-0.48492076992988586,-0.11122353374958038,-0.8323410153388977,-0.4745998978614807,-0.09126713126897812,-0.6016358137130737,-0.40886354446411133,A,A/A1003.jpg
0.0,0.0,0.0,0.616948664188385,-0.35555094480514526,-0.158037468791008,0.9385690093040466,-0.9724377393722534,-0.22489702701568604,0.9344578385353088,-1.5285708904266357,-0.30961763858795166,0.8650265336036682,-1.931727409362793,-0.36367300152778625,0.6269729733467102,-1.3941619396209717,-0.005161456298083067,0.6643034219741821,-1.7213640213012695,-0.3231137990951538,0.6468762159347534,-1.3468965291976929,-0.524899423122406,0.6259731650352478,-1.0046477317810059,-0.6085360050201416,0.2645972967147827,-1.3572224378585815,-0.04691723734140396,0.36847713589668274,-1.607309103012085,-0.40644505620002747,0.42172786593437195,-1.0989530086517334,-0.5435366034507751,0.41656580567359924,-0.7138147950172424,-0.5629753470420837,-0.06852321326732635,-1.2695884704589844,-0.13807503879070282,0.08594291657209396,-1.4584294557571411,-0.5000198483467102,0.16168716549873352,-0.9401180744171143,-0.4948260188102722,0.15976865589618683,-0.5798085927963257,-0.3959026038646698,-0.3977944552898407,-1.1419486999511719,-0.24478869140148163,-0.20952099561691284,-1.203348159790039,-0.49501660466194153,-0.11652223765850067,-0.8415701389312744,-0.48985105752944946,-0.08681169152259827,-0.5886664986610413,-0.4218965768814087,A,A/A1004.jpg
0.0,0.0,0.0,0.5858659744262695,-0.33813250064849854,-0.15190602838993073,0.9112911820411682,-0.9121866822242737,-0.21314825117588043,0.9289453029632568,-1.4358110427856445,-0.29048284888267517,0.8370306491851807,-1.8188756704330444,-0.33753132820129395,0.608536422252655,-1.2987465858459473,-0.005481269676238298,0.6451877355575562,-1.6395460367202759,-0.30564364790916443,0.6449933052062988,-1.2882622480392456,-0.4931405484676361,0.6387203931808472,-0.9796431660652161,-0.5716996192932129,0.27562129497528076,-1.2625508308410645,-0.05029909685254097,0.36964496970176697,-1.5632203817367554,-0.39756694436073303,0.42826053500175476,-1.0739457607269287,-0.5307105779647827,0.4287056624889374,-0.7168374061584473,-0.5498687624931335,-0.03475889563560486,-1.1814303398132324,-0.14105191826820374,0.10264863818883896,-1.4075835943222046,-0.49084460735321045,0.1732737123966217,-0.9122957587242126,-0.4852920472621918,0.16496390104293823,-0.5800535678863525,-0.38863837718963623,-0.3517117500305176,-1.069288730621338,-0.24631868302822113,-0.1870623379945755,-1.155136227607727,-0.4803864061832428,-0.10303898900747299,-0.8226532936096191,-0.47042444348335266,-0.08217582106590271,-0.5948362350463867,-0.4040620028972626,A,A/A1005.jpg
0.0,0.0,0.0,0.5844544172286987,-0.3192045986652374,-0.16822586953639984,0.9288193583488464,-0.9251196980476379,-0.23521342873573303,0.9691733121871948,-1.471523404121399,-0.3149186968803406,0.9069302082061768,-1.879899024963379,-0.36504149436950684,0.6267709136009216,-1.3531688451766968,-0.0400390587747097,0.677754282951355,-1.7067948579788208,-0.3529476225376129,0.6681752800941467,-1.3422176837921143,-0.5439404249191284,0.6437373161315918,-1.0036264657974243,-0.6208055019378662,0.27392813563346863,-1.3223636150360107,-0.07637059688568115,0.3818836212158203,-1.6104856729507446,-0.4352158308029175,0.426761269569397,-1.0901830196380615,-0.5674120783805847,0.4113638997077942,-0.7010056972503662,-0.58255535364151,-0.05100133270025253,-1.239560842514038,-0.15911638736724854,0.09566986560821533,-1.4601686000823975,-0.5263878107070923,0.15997619926929474,-0.9316471815109253,-0.5186660289764404,0.14822182059288025,-0.5709421634674072,-0.4166856110095978,-0.3759321868419647,-1.117434024810791,-0.2564373314380646,-0.2021721750497818,-1.200325846672058,-0.5159012079238892,-0.1156279593706131,-0.8355845212936401,-0.5113013386726379,-0.09110751003026962,-0.5824291706085205,-0.44302642345428467,A,A/A1006.jpg
0.0,0.0,0.0,0.6216553449630737,-0.31114494800567627,-0.1499251425266266,0.9613215327262878,-0.9089128971099854,-0.20769737660884857,0.9968898296356201,-1.445933222770691,-0.2835637032985687,0.9426764845848083,-1.8450934886932373,-0.3307434022426605,0.6933495402336121,-1.3068773746490479,-0.004486405290663242,0.7115798592567444,-1.65653395652771,-0.32097288966178894,0.6836846470832825,-1.2826848030090332,-0.5199525356292725,0.6539513468742371,-0.9583466649055481,-0.6021385192871094,0.34251782298088074,-1.2824074029922485,-0.04802318289875984,0.4072822034358978,-1.5676496028900146,-0.415201872587204,0.43869879841804504,-1.0544915199279785,-0.5662701725959778,0.4118307828903198,-0.6913655996322632,-0.5936405658721924,0.017851572483778,-1.2013633251190186,-0.1364612877368927,0.11279578506946564,-1.4235080480575562,-0.5068313479423523,0.17388643324375153,-0.9010536670684814,-0.511745810508728,0.1641232818365097,-0.5585111379623413,-0.4156155288219452,-0.30556127429008484,-1.0872080326080322,-0.23739244043827057,-0.17784368991851807,-1.1976016759872437,-0.4898923337459564,-0.09647790342569351,-0.8515741229057312,-0.4865000247955322,-0.06722934544086456,-0.6113699674606323,-0.4187282621860504,A,A/A1007.jpg
